gene	logFC	logCPM	LR	PValue	FDR	gene_status	cols	is_sig
1	ENSG00000000971	-0.346011970785071	8.52480888972577	1.74101381685463	0.187010420705464	0.385478001572725	0	black	n.s.
2	ENSG00000001461	0.13456002363237	7.48670320314984	0.198213290829202	0.656166907800893	0.820110347317353	0	black	n.s.
3	ENSG00000002586	0.00404013023992449	9.04282836982456	0.000833916087940256	0.976962206552689	0.989773269970329	0	black	n.s.
4	ENSG00000002834	-0.304950719766584	8.82907766341568	5.84058170980674	0.0156606482463662	0.0595047581820036	0	black	n.s.
5	ENSG00000003402	-1.09026250441921	7.32401062210257	43.0387101536269	5.36674177381827e-11	1.77698783177538e-09	-1	blue	Downregulated
6	ENSG00000003436	0.298434463457543	8.15817830521938	2.25473229784956	0.133206489301762	0.301049552203116	0	black	n.s.
7	ENSG00000003756	0.277878245893397	7.08068645532854	4.77192519474449	0.0289274603373767	0.0950278460846736	0	black	n.s.
8	ENSG00000004399	0.102989172850817	7.85788909392021	0.169993051668939	0.680117982953812	0.83799534107599	0	black	n.s.
9	ENSG00000004776	0.167605251187699	7.47094213732179	0.278736390348001	0.597530629700803	0.778543968492114	0	black	n.s.
10	ENSG00000005007	-0.148992858103795	7.16918477231141	1.57747073176583	0.209125390635662	0.415912320208814	0	black	n.s.
11	ENSG00000005339	0.185782996469578	7.35031609461526	2.02062636784489	0.155175120197303	0.337922363324158	0	black	n.s.
12	ENSG00000005810	0.115016460480121	7.27062476118001	0.935100723594424	0.333541003334683	0.556153259327897	0	black	n.s.
13	ENSG00000005893	0.0239254190589257	8.36335808997772	0.0422072444777193	0.837225232360661	0.927483714659765	0	black	n.s.
14	ENSG00000006007	-0.0746334846818043	7.13172280955796	0.273585718035442	0.600936521682306	0.780058235363591	0	black	n.s.
15	ENSG00000006042	0.122166816696195	7.62091630073069	1.07423401530199	0.299991036661624	0.522791397223182	0	black	n.s.
16	ENSG00000006125	0.0486219732582043	8.74631333129369	0.142740268267588	0.705571870149889	0.856325291372847	0	black	n.s.
17	ENSG00000006715	0.150940369792918	7.14295340075925	1.18318473270702	0.27670859969869	0.494967976573032	0	black	n.s.
18	ENSG00000007168	-0.0147857765007287	7.71107871088978	0.01910229224353	0.890073628274423	0.960524360362362	0	black	n.s.
19	ENSG00000007202	0.0950354971517728	8.08257839639929	0.61304990423821	0.433641772877908	0.645813249065975	0	black	n.s.
20	ENSG00000008256	-1.10966484799867	7.86750983956506	29.1963716948982	6.54015630821677e-08	1.166048381106e-06	-1	blue	Downregulated
21	ENSG00000008282	-0.18881410482216	6.96492557846722	1.4860292159682	0.222833572896901	0.43198532197326	0	black	n.s.
22	ENSG00000008294	0.122837477375982	7.53217212336115	0.957296621847764	0.327868933083962	0.550671976178056	0	black	n.s.
23	ENSG00000008394	0.0261567945167007	7.83540390385844	0.00546498139124196	0.941069655386755	0.978267484039578	0	black	n.s.
24	ENSG00000008441	0.419228871069609	9.43375050196612	6.75383472544411	0.00935464184875244	0.039263144660961	1	red	Upregulated
25	ENSG00000008710	-0.397478957374564	8.42656709318406	4.54687691498816	0.0329788474397647	0.105674156312364	0	black	n.s.
26	ENSG00000008952	-0.078845004240968	8.33649015417064	0.41824764201673	0.517812734406991	0.710873334572007	0	black	n.s.
27	ENSG00000008988	0.124081307352734	9.43130207070107	0.534988124822121	0.464517264564989	0.670112734358622	0	black	n.s.
28	ENSG00000009307	0.0837362746094191	9.97335011312303	0.369869867343994	0.543075210124029	0.732019457955395	0	black	n.s.
29	ENSG00000009335	-0.115313309470324	7.0635395985264	0.902216390799371	0.342188109729612	0.562484755438312	0	black	n.s.
30	ENSG00000009413	-1.02856943800844	8.90101048406856	31.5292126470661	1.96462294810083e-08	3.94058025936379e-07	-1	blue	Downregulated
31	ENSG00000009954	0.134488834292729	7.55156215681909	1.34882764363373	0.245483174313345	0.460501710087803	0	black	n.s.
32	ENSG00000010017	-0.645194499214101	6.87594695351826	12.2248216751641	0.000471579008622728	0.00306452900930533	-1	blue	Downregulated
33	ENSG00000010244	-0.0275063849045818	7.01347826482363	0.0310752946963078	0.860072511304626	0.941877341806382	0	black	n.s.
34	ENSG00000010278	-0.47609064333612	7.9418881256122	4.84537596764178	0.0277203489603659	0.0919310777922468	0	black	n.s.
35	ENSG00000010322	0.356333859585201	7.35818929091001	7.59880074763073	0.00584071375132395	0.0266020281337593	1	red	Upregulated
36	ENSG00000010404	-0.109784026164735	6.95371148178392	0.312801340272287	0.575966237013058	0.759940272238608	0	black	n.s.
37	ENSG00000011028	0.317857657592715	10.0545382590403	4.61377381396473	0.0317161629310263	0.102256438754437	0	black	n.s.
38	ENSG00000011105	-0.194735163550303	7.8203432830186	0.984331944936201	0.32113165377034	0.545061537644369	0	black	n.s.
39	ENSG00000011304	-0.254499184435281	7.83341699069122	3.29772012989203	0.0693761108770701	0.187216775277579	0	black	n.s.
40	ENSG00000011454	-0.353778236133639	7.20021516788228	4.85331692147581	0.0275930222937366	0.0918007089389705	0	black	n.s.
41	ENSG00000011465	0.192371484408351	14.2142207998734	0.466054818311022	0.494807757509627	0.693196092790518	0	black	n.s.
